review_id,img_cnn_manip
R00001,0.2567387521266937
R00002,0.6801888942718506
R00003,0.19289112091064453
R00004,0.13160701096057892
R00005,0.07706071436405182
R00006,0.28060799837112427
R00007,0.3572090268135071
R00008,0.5224044322967529
R00009,0.4111954867839813
R00010,0.38378381729125977
R00011,0.16755914688110352
R00012,0.1304233968257904
R00013,0.4106498956680298
R00014,0.2586337625980377
R00015,0.7761523127555847
R00016,0.37855494022369385
R00017,0.21391935646533966
R00018,0.13490816950798035
R00019,0.9472267031669617
R00020,0.15136241912841797
R00021,0.2959132790565491
R00022,0.18609154224395752
R00023,0.42918989062309265
R00024,0.5511700510978699
R00025,0.7959005832672119
R00026,0.7037613391876221
R00027,0.2974342405796051
R00028,0.22294215857982635
R00029,0.4093555510044098
R00030,0.08786793798208237
R00031,0.2727538049221039
R00032,0.15511175990104675
R00033,0.44755715131759644
R00034,0.1870405524969101
R00035,0.42552831768989563
R00036,0.4988566040992737
R00037,0.4182519316673279
R00038,0.23504838347434998
R00039,0.3397345542907715
R00040,0.5143833160400391
R00041,0.7079994678497314
R00042,0.15895219147205353
R00043,0.3543865978717804
R00044,0.24834108352661133
R00045,0.11250808835029602
R00046,0.6915518045425415
R00047,0.4513567388057709
R00048,0.22466714680194855
R00049,0.323122501373291
R00050,0.23337191343307495
R00051,0.9577919840812683
R00052,0.32815587520599365
R00053,0.3242523670196533
R00054,0.38275933265686035
R00055,0.97483891248703
R00056,0.4467921555042267
R00057,0.652435302734375
R00058,0.3504886031150818
R00059,0.35731735825538635
R00060,0.19286732375621796
R00061,0.10098910331726074
R00062,0.30831727385520935
R00063,0.16817820072174072
R00064,0.2681187689304352
R00065,0.5068206787109375
R00066,0.2749078571796417
R00067,0.18888576328754425
R00068,0.14045587182044983
R00069,0.24265238642692566
R00070,0.12800553441047668
R00071,0.17434892058372498
R00072,0.8224995136260986
R00073,0.4780835211277008
R00074,0.1978931725025177
R00075,0.3028163015842438
R00076,0.19322116672992706
R00077,0.21953903138637543
R00078,0.5034958720207214
R00079,0.2184717357158661
R00080,0.5624147653579712
R00081,0.28351837396621704
R00082,0.1389971673488617
R00083,0.39555883407592773
R00084,0.3534535765647888
R00085,0.343816876411438
R00086,0.4751841723918915
R00087,0.643760621547699
R00088,0.26384058594703674
R00089,0.2500046491622925
R00090,0.9699499607086182
R00091,0.10581159591674805
R00092,0.19221735000610352
R00093,0.27461758255958557
R00094,0.2028200328350067
R00095,0.48099130392074585
R00096,0.5207055807113647
R00097,0.2526419162750244
R00098,0.32292574644088745
R00099,0.30654415488243103
R00100,0.4714243412017822
R00101,0.25855278968811035
R00102,0.22361937165260315
R00103,0.4204103648662567
R00104,0.0850558951497078
R00105,0.31989824771881104
R00106,0.1467866599559784
R00107,0.3452291488647461
R00108,0.34405288100242615
R00109,0.4178965091705322
R00110,0.3722854256629944
R00111,0.17078858613967896
R00112,0.1130930632352829
R00113,0.4153558015823364
R00114,0.9508600831031799
R00115,0.40182918310165405
R00116,0.3261865973472595
R00117,0.2980876564979553
R00118,0.41264423727989197
R00119,0.48800963163375854
R00120,0.4964900016784668
R00121,0.3489798307418823
R00122,0.6404581069946289
R00123,0.4606459140777588
R00124,0.16067533195018768
R00125,0.1041940450668335
R00126,0.29753807187080383
R00127,0.6458118557929993
R00128,0.4021298885345459
R00129,0.30658861994743347
R00130,0.9186969995498657
R00131,0.2711040675640106
R00132,0.503381609916687
R00133,0.2692602872848511
R00134,0.12185053527355194
R00135,0.4338930547237396
R00136,0.40584462881088257
R00137,0.3326902389526367
R00138,0.9550700783729553
R00139,0.41637611389160156
R00140,0.18068528175354004
R00141,0.1383310705423355
R00142,0.2449144423007965
R00143,0.9034453630447388
R00144,0.1350516378879547
R00145,0.7918062806129456
R00146,0.14776046574115753
R00147,0.1671559363603592
